name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,normal_attack_effectiveness,fire_attack_effectiveness,water_attack_effectiveness,electric_attack_effectiveness,grass_attack_effectiveness,ice_attack_effectiveness,fighting_attack_effectiveness,poison_attack_effectiveness,ground_attack_effectiveness,fly_attack_effectiveness,psychic_attack_effectiveness,bug_attack_effectiveness,rock_attack_effectiveness,ghost_attack_effectiveness,dragon_attack_effectiveness,dark_attack_effectiveness,steel_attack_effectiveness,fairy_attack_effectiveness
Charizard Mega Y,6,Drought,Fire~Flying,78,104,78,159,115,100,17,1005,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,285,45,Monster~Dragon,20,70,FALSE,Charmeleon,Red,Upright,7,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Squirtle,7,Torrent~Rain Dish,Water,44,48,65,50,64,43,5,90,Tiny Turtle Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,63,45,Monster~Water 1,20,70,TRUE,,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Wartortle,8,Torrent~Rain Dish,Water,59,63,80,65,80,58,10,225,Turtle Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster~Water 1,20,70,TRUE,Squirtle,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Blastoise,9,Torrent~Rain Dish,Water,79,83,100,85,105,78,16,855,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,239,45,Monster~Water 1,20,70,FALSE,Wartortle,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Blastoise Gmax,9,Torrent~Rain Dish,Water,79,83,100,85,105,78,250,10000,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,239,45,Monster~Water 1,20,70,FALSE,Wartortle,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Blastoise Mega,9,Mega Launcher,Water,79,103,120,135,115,78,16,1011,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,284,45,Monster~Water 1,20,70,FALSE,Wartortle,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Caterpie,10,Shield Dust~Run Away,Bug,45,30,35,20,20,45,3,29,Worm Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,39,255,Bug,15,70,TRUE,,Green,Armor,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Metapod,11,Shed Skin,Bug,50,20,55,25,25,30,7,99,Cocoon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,15,70,TRUE,Caterpie,Green,Squiggle,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Butterfree,12,Compound Eyes~Tinted Lens,Bug~Flying,60,45,50,90,80,70,11,320,Butterfly Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,178,45,Bug,15,70,FALSE,Metapod,White,Bug-Wings,14,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Butterfree Gmax,12,Compound Eyes~Tinted Lens,Bug~Flying,60,45,50,90,80,70,170,10000,Butterfly Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,178,45,Bug,15,70,FALSE,Metapod,White,Bug-Wings,14,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Weedle,13,Shield Dust~Run Away,Bug~Poison,40,35,30,20,20,50,3,32,Hairy Bug Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,39,255,Bug,15,70,TRUE,,Brown,Armor,13,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Kakuna,14,Shed Skin,Bug~Poison,45,25,50,25,25,35,6,100,Cocoon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,15,70,TRUE,Weedle,Yellow,Squiggle,13,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Beedrill,15,Swarm~Sniper,Bug~Poison,65,90,40,45,80,75,10,295,Poison Bee Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,178,45,Bug,15,70,FALSE,Kakuna,Yellow,Bug-Wings,13,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Beedrill Mega,15,Adaptability,Bug~Poison,65,150,40,15,80,145,14,405,Poison Bee Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,223,45,Bug,15,70,FALSE,Kakuna,Yellow,Bug-Wings,13,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Pidgey,16,Keen Eye~Tangled Feet~Big Pecks,Normal~Flying,40,45,40,35,35,56,3,18,Tiny Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,255,Flying,15,70,TRUE,,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeotto,17,Keen Eye~Tangled Feet~Big Pecks,Normal~Flying,63,60,55,50,50,71,11,300,Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,122,120,Flying,15,70,TRUE,Pidgey,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeot,18,Keen Eye~Tangled Feet~Big Pecks,Normal~Flying,83,80,75,70,70,101,15,395,Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,216,45,Flying,15,70,FALSE,Pidgeotto,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeot Mega,18,No Guard,Normal~Flying,83,80,80,135,80,121,22,505,Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,261,45,Flying,15,70,FALSE,Pidgeotto,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Rattata,19,Run Away~Guts~Hustle,Normal,30,56,35,25,35,72,3,35,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,51,255,Field,15,70,TRUE,,Purple,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Rattata Alola,19,Gluttony~Hustle~Thick Fat,Dark~Normal,30,56,35,25,35,72,3,38,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,255,Field,15,70,TRUE,,Purple,Quadruped,5,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Raticate,20,Run Away~Guts~Hustle,Normal,55,81,60,50,70,97,7,185,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,145,127,Field,15,70,FALSE,Rattata,Brown,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Raticate Alola,20,Gluttony~Hustle~Thick Fat,Dark~Normal,75,71,70,40,80,77,7,255,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,145,127,Field,15,70,FALSE,Rattata,Brown,Quadruped,5,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Raticate Totem Alola,20,Gluttony~Hustle~Thick Fat,Dark~Normal,75,71,70,40,80,77,14,1050,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,145,127,Field,15,70,FALSE,Rattata,Brown,Quadruped,5,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Spearow,21,Keen Eye~Sniper,Normal~Flying,40,60,30,31,31,70,3,20,Tiny Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,52,255,Flying,15,70,TRUE,,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Fearow,22,Keen Eye~Sniper,Normal~Flying,65,90,65,61,61,100,12,380,Beak Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,155,90,Flying,15,70,FALSE,Spearow,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Ekans,23,Intimidate~Shed Skin~Unnerve,Poison,35,60,44,40,54,55,20,69,Snake Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58,255,Field~Dragon,20,70,TRUE,,Purple,Squiggle,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Arbok,24,Intimidate~Shed Skin~Unnerve,Poison,60,95,69,65,79,80,35,650,Cobra Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,157,90,Field~Dragon,20,70,FALSE,Ekans,Purple,Squiggle,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Pikachu,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Alola Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Belle,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Cosplay,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Gmax,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,210,10000,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Hoenn Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Kalos Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Libre,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Original Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Partner Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Phd,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Pop Star,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Rock Star,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Sinnoh Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu Unova Cap,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Raichu,26,Static~Lightning Rod,Electric,60,90,55,90,80,110,8,300,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,218,75,Field~Fairy,10,70,FALSE,Pikachu,Yellow,Upright,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Raichu Alola,26,Surge Surfer,Electric~Psychic,60,85,50,95,85,110,7,210,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,218,75,Field~Fairy,10,70,FALSE,Pikachu,Yellow,Upright,1,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1
Sandshrew,27,Sand Veil~Sand Rush,Ground,50,75,85,20,30,40,6,120,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,255,Field,20,70,TRUE,,Yellow,Upright,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Sandshrew Alola,27,Snow Cloak~Slush Rush,Ice~Steel,50,75,90,10,35,40,7,400,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,255,Field,20,70,TRUE,,Yellow,Upright,2,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
Sandslash,28,Sand Veil~Sand Rush,Ground,75,100,110,45,55,65,10,295,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,90,Field,20,70,FALSE,Sandshrew,Yellow,Upright,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Sandslash Alola,28,Snow Cloak~Slush Rush,Ice~Steel,75,100,120,25,65,65,12,550,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,158,90,Field,20,70,FALSE,Sandshrew,Yellow,Upright,2,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
Nidoran F,29,Poison Point~Rivalry~Hustle,Poison,55,47,52,40,40,41,4,70,Poison Pin Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,55,235,Monster~Field,20,70,FALSE,,Blue,Quadruped,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidorina,30,Poison Point~Rivalry~Hustle,Poison,70,62,67,55,55,56,8,200,Poison Pin Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,128,120,Undiscovered,20,70,TRUE,Nidoran F,Blue,Quadruped,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidoqueen,31,Poison Point~Rivalry~Sheer Force,Poison~Ground,90,92,87,75,85,76,13,600,Drill Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Undiscovered,20,70,FALSE,Nidorina,Blue,Upright,2,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
Nidoran M,32,Poison Point~Rivalry~Hustle,Poison,46,57,40,40,40,50,5,90,Poison Pin Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,55,235,Monster~Field,20,70,FALSE,,Purple,Quadruped,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidorino,33,Poison Point~Rivalry~Hustle,Poison,61,72,57,55,55,65,9,195,Poison Pin Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,128,120,Monster~Field,20,70,TRUE,Nidoran M,Purple,Quadruped,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidoking,34,Poison Point~Rivalry~Sheer Force,Poison~Ground,81,102,77,85,75,85,14,620,Drill Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Monster~Field,20,70,FALSE,Nidorino,Purple,Upright,2,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
Clefairy,35,Cute Charm~Magic Guard~Friend Guard,Fairy,70,45,48,60,65,35,6,75,Fairy Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,113,150,Fairy,10,140,TRUE,Cleffa,Pink,Upright,19,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Clefable,36,Cute Charm~Magic Guard~Unaware,Fairy,95,70,73,95,90,60,13,400,Fairy Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,217,25,Fairy,10,140,FALSE,Clefairy,Pink,Upright,19,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Vulpix,37,Flash Fire~Drought,Fire,38,41,40,50,65,65,6,99,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,190,Field,20,70,TRUE,,Brown,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Vulpix Alola,37,Snow Cloak~Snow Warning,Ice,38,41,40,50,65,65,6,99,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,190,Field,20,70,TRUE,,Brown,Quadruped,20,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
Ninetales,38,Flash Fire~Drought,Fire,73,76,75,81,100,100,11,199,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,177,75,Field,20,70,FALSE,Vulpix,Yellow,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Ninetales Alola,38,Snow Cloak~Snow Warning,Ice~Fairy,73,67,75,81,100,109,11,199,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,177,75,Field,20,70,FALSE,Vulpix,Yellow,Quadruped,1,1,2,1,1,1,0.5,1,2,1,1,1,0.5,2,1,0,0.5,4,1
Jigglypuff,39,Cute Charm~Competitive~Friend Guard,Normal~Fairy,115,45,20,45,25,20,5,55,Balloon Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,95,170,Fairy,10,70,TRUE,Igglybuff,Pink,Humanoid,5,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Wigglytuff,40,Cute Charm~Competitive~Frisk,Normal~Fairy,140,70,45,85,50,45,10,120,Balloon Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,196,50,Fairy,10,70,FALSE,Jigglypuff,Pink,Humanoid,5,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Zubat,41,Inner Focus~Infiltrator,Poison~Flying,40,45,35,30,40,55,8,75,Bat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,49,255,Flying,15,70,TRUE,,Purple,Wings,3,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
Golbat,42,Inner Focus~Infiltrator,Poison~Flying,75,80,70,65,75,90,16,550,Bat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,90,Flying,15,70,TRUE,Zubat,Purple,Wings,3,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
Oddish,43,Chlorophyll~Run Away,Grass~Poison,45,50,55,75,65,30,5,54,Weed Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,255,Grass,20,70,TRUE,,Blue,Legs,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Gloom,44,Chlorophyll~Stench,Grass~Poison,60,65,70,85,75,40,8,86,Weed Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,138,120,Grass,20,70,TRUE,Oddish,Blue,Humanoid,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Vileplume,45,Chlorophyll~Effect Spore,Grass~Poison,75,80,85,110,90,50,12,186,Flower Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,221,45,Grass,20,70,FALSE,Gloom,Red,Humanoid,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Paras,46,Effect Spore~Dry Skin~Damp,Bug~Grass,35,70,55,45,55,25,3,54,Mushroom Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57,190,Bug~Grass,20,70,TRUE,,Red,Armor,6,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
